시도,시군구,읍면동,업종,연령대,성별,날짜,이용자수,이용횟수,이용액
제주도,서귀포시,읍면,소매,20대,남,201812,987,1202,30324255
제주도,서귀포시,읍면,문화/레져,60대이상,여,201812,429,514,30019440
제주도,서귀포시,읍면,문화/레져,60대이상,남,201812,911,1227,117586532
제주도,서귀포시,읍면,문화/레져,50대,여,201812,1135,1321,61537045
제주도,서귀포시,읍면,문화/레져,50대,남,201812,1771,2131,147464717
제주도,서귀포시,읍면,문화/레져,40대,여,201812,1841,2326,89523796
제주도,서귀포시,읍면,문화/레져,40대,남,201812,2414,3064,147046634
제주도,서귀포시,읍면,문화/레져,30대,여,201812,2203,2707,87016542
제주도,서귀포시,읍면,문화/레져,30대,남,201812,2286,2811,92941956
제주도,서귀포시,읍면,문화/레져,20대미만,여,201812,72,83,1337000
제주도,서귀포시,읍면,문화/레져,20대미만,남,201812,43,53,882320
제주도,서귀포시,읍면,문화/레져,20대,여,201812,1942,2186,50458442
제주도,서귀포시,읍면,문화/레져,20대,남,201812,1430,1645,38609638
제주도,서귀포시,읍면,교통,60대이상,여,201812,212,280,15888142
제주도,서귀포시,읍면,교통,60대이상,남,201812,479,686,34738940
제주도,서귀포시,읍면,교통,50대,여,201812,474,596,31169157
제주도,서귀포시,읍면,교통,50대,남,201812,953,1233,58716858
제주도,서귀포시,읍면,교통,40대,여,201812,553,681,31686545
제주도,서귀포시,읍면,교통,40대,남,201812,1103,1450,65271544
제주도,서귀포시,읍면,교통,30대,여,201812,655,774,28163252
제주도,서귀포시,읍면,교통,30대,남,201812,998,1203,44505574
제주도,서귀포시,읍면,교통,20대미만,여,201812,2,4,566271
제주도,서귀포시,읍면,교통,20대미만,남,201812,1,1,50000
제주도,서귀포시,읍면,교통,20대,여,201812,549,615,19252430
제주도,서귀포시,읍면,교통,20대,남,201812,624,734,23277579
제주도,서귀포시,도심,유흥,60대이상,여,201812,24,33,3187500
제주도,서귀포시,도심,유흥,60대이상,남,201812,152,216,40716600
제주도,서귀포시,도심,유흥,50대,여,201812,52,62,6704200
제주도,서귀포시,도심,유흥,50대,남,201812,335,499,91647400
제주도,서귀포시,도심,유흥,40대,여,201812,79,93,10092400
제주도,서귀포시,도심,유흥,40대,남,201812,240,328,51471400
제주도,서귀포시,도심,유흥,30대,여,201812,129,162,7797400
제주도,서귀포시,도심,유흥,30대,남,201812,279,366,25944600
제주도,서귀포시,도심,유흥,20대미만,여,201812,1,1,33000
제주도,서귀포시,도심,유흥,20대미만,남,201812,1,2,410000
제주도,서귀포시,도심,유흥,20대,여,201812,173,232,7949300
제주도,서귀포시,도심,유흥,20대,남,201812,254,372,17184500
제주도,서귀포시,도심,식음료,60대이상,여,201812,1731,2407,88564121
제주도,서귀포시,도심,식음료,60대이상,남,201812,3182,4761,208735325
제주도,서귀포시,도심,식음료,50대,여,201812,3830,5266,208787835
제주도,서귀포시,도심,식음료,50대,남,201812,6559,9891,434573533
제주도,서귀포시,도심,식음료,40대,여,201812,5585,7776,287502577
제주도,서귀포시,도심,식음료,40대,남,201812,8449,12698,480625360
제주도,서귀포시,도심,식음료,30대,여,201812,8313,11598,344964130
제주도,서귀포시,도심,식음료,30대,남,201812,9818,14185,460627519
제주도,서귀포시,도심,식음료,20대미만,여,201812,127,201,3893100
제주도,서귀포시,도심,식음료,20대미만,남,201812,176,237,5799250
제주도,서귀포시,도심,식음료,20대,여,201812,7900,11047,279519641
제주도,서귀포시,도심,식음료,20대,남,201812,6224,8834,240344415
제주도,서귀포시,도심,숙박,60대이상,여,201812,202,257,40816643
제주도,서귀포시,도심,숙박,60대이상,남,201812,482,648,93441536
제주도,서귀포시,도심,숙박,50대,여,201812,529,655,64865997
제주도,서귀포시,도심,숙박,50대,남,201812,947,1179,159847867
제주도,서귀포시,도심,숙박,40대,여,201812,771,987,140264718
제주도,서귀포시,도심,숙박,40대,남,201812,1243,1604,247019216
제주도,서귀포시,도심,숙박,30대,여,201812,1133,1439,191758069
제주도,서귀포시,도심,숙박,30대,남,201812,1328,1618,212326066
제주도,서귀포시,도심,숙박,20대미만,여,201812,13,15,433860
제주도,서귀포시,도심,숙박,20대미만,남,201812,10,16,1952484
제주도,서귀포시,도심,숙박,20대,여,201812,877,1011,92674617
제주도,서귀포시,도심,숙박,20대,남,201812,658,786,68516293
제주도,서귀포시,도심,쇼핑,60대이상,여,201812,1374,2926,88235260
제주도,서귀포시,도심,쇼핑,60대이상,남,201812,2183,4520,112540630
제주도,서귀포시,도심,쇼핑,50대,여,201812,2888,5633,162688500
제주도,서귀포시,도심,쇼핑,50대,남,201812,4985,11098,249847173
제주도,서귀포시,도심,쇼핑,40대,여,201812,4187,7727,199106344
제주도,서귀포시,도심,쇼핑,40대,남,201812,7140,15522,311759290
제주도,서귀포시,도심,쇼핑,30대,여,201812,5496,9512,195012400
제주도,서귀포시,도심,쇼핑,30대,남,201812,7968,15824,265320350
제주도,서귀포시,도심,쇼핑,20대미만,여,201812,135,256,3218940
제주도,서귀포시,도심,쇼핑,20대미만,남,201812,204,367,3120820
제주도,서귀포시,도심,쇼핑,20대,여,201812,5457,9500,142774040
제주도,서귀포시,도심,쇼핑,20대,남,201812,5736,11849,143934490
제주도,서귀포시,도심,소매,60대이상,여,201812,710,898,87160251
제주도,서귀포시,도심,소매,60대이상,남,201812,873,1113,107936932
제주도,서귀포시,도심,소매,50대,여,201812,1358,1741,96392984
제주도,서귀포시,도심,소매,50대,남,201812,1691,2323,133394727
제주도,서귀포시,도심,소매,40대,여,201812,1693,2201,89541289
제주도,서귀포시,도심,소매,40대,남,201812,2091,2824,110320475
제주도,서귀포시,도심,소매,30대,여,201812,2366,3304,102022330
제주도,서귀포시,도심,소매,30대,남,201812,2370,3328,105957538
제주도,서귀포시,도심,소매,20대미만,여,201812,51,64,1316000
제주도,서귀포시,도심,소매,20대미만,남,201812,39,51,845500
제주도,서귀포시,도심,소매,20대,여,201812,2491,3717,78478906
제주도,서귀포시,도심,소매,20대,남,201812,1557,2194,52031240
제주도,서귀포시,도심,문화/레져,60대이상,여,201812,177,231,11770830
제주도,서귀포시,도심,문화/레져,60대이상,남,201812,436,601,44463070
제주도,서귀포시,도심,문화/레져,50대,여,201812,392,465,18722940
제주도,서귀포시,도심,문화/레져,50대,남,201812,800,1049,72311160
